i,rawRoll,filteredRoll,residual
355,1.37,1.87,-0.5
356,0.6437,1.4248,-0.7811
357,0.1374,0.9863,-0.8489
358,-0.5542,0.4265,-0.9807
359,-1.2952,-0.1736,-1.1216
360,-1.9738,-0.7885,-1.1853
361,-2.5808,-1.3879,-1.1929
362,-3.0964,-1.9426,-1.1538
363,-3.4901,-2.4247,-1.0654
364,-3.7393,-2.8105,-0.9287999999999998
365,-3.8376,-3.0802,-0.7574000000000001
366,-3.7781,-3.2222,-0.5558999999999998
367,-3.5637,-3.2273,-0.3363999999999998
368,-3.196,-3.0929,-0.10309999999999997
369,-2.683,-2.819,0.13600000000000012
370,-2.0459,-2.4128,0.3668999999999998
371,-1.3004,-1.8877,0.5872999999999999
372,-0.4862,-1.2661,0.7799
373,0.324,-0.681,1.0050000000000001
374,0.9684,-0.0888,1.0572000000000001
375,1.5189,0.4715,1.0473999999999999
376,1.9494,0.9711,0.9783000000000001
377,2.247,1.3847,0.8622999999999998
378,2.3971,1.6902,0.7069000000000001
379,2.3844,1.8696,0.5147999999999999
380,2.203,1.9086,0.2943999999999998
381,1.8512,1.8012,0.050000000000000044
382,1.3492,1.5495,-0.20030000000000014
383,0.7186,1.1662,-0.4475999999999999
384,0.3038,0.7714,-0.46759999999999996
385,-0.332,0.3044,-0.6364000000000001
386,-0.9098,-0.1964,-0.7134
387,-1.4537,-0.7023,-0.7514
388,-1.9459,-1.1935,-0.7524
389,-2.3682,-1.6499,-0.7182999999999999
390,-2.7004,-2.0503,-0.6501000000000001
391,-2.9166,-2.3731,-0.5434999999999999
392,-3.0046,-2.6006,-0.4039999999999999
393,-2.9522,-2.7181,-0.23409999999999975
394,-2.7629,-2.7186,-0.04430000000000023
395,-2.4454,-2.6014,0.15600000000000014
396,-2.0155,-2.3713,0.35580000000000034
397,-1.4976,-2.0394,0.5418000000000001
398,-0.9154,-1.6217,0.7062999999999999
399,-0.2898,-1.1339,0.8440999999999999
